擂,攂
器,噐
卯,夘
蠣,蠇
羃,冪
覊,羈
貔,豼
緞,縀
侭,儘
脉,脈
脉,衇
呪,咒
釖,刀
讖,䜟
鄰,隣
鄰,厸
渕,渊
糯,糥
糯,穤
糯,稬
華,华
寫,冩
烟,煙
韲,虀
韲,䪡
閏,閠
梔,栀
惇,㥫
賊,戝
鴈,鳫
鼇,鰲
劫,刧
脚,踋
亡,兦
亡,亾
關,闗
巛,川
川,巛
達,逹
逖,逷
映,暎
貘,獏
蜃,蜄
舄,舃
冐,冒
鬢,髩
鬢,鬂
愛,爱
策,萗
養,养
養,羪
奬,獎
菱,蔆
菱,䔖
籏,簱
粢,秶
鷆,鷏
麁,麄
襄,㐮
畳,疂
畳,疉
畳,叠
畳,曡
歌,謌
裡,裏
甜,甛
櫨,枦
蘗,檘
従,从
却,卻
睘,瞏
緡,緍
這,这
一,弌
髓,膸
繭,絸
繭,蠒
鏥,銹
規,槼
鬣,鬛
鬣,㲱
荻,蔐
琴,珡
琴,琹
磨,䃺
権,权
栴,㮵
酉,丣
釜,釡
睥,睤
賍,贓
攜,携
攜,擕
鼈,鱉
鼈,龞
餐,湌
餐,飡
農,辳
農,䢉
澑,溜
警,䜘
鷏,鷆
甞,嘗
冒,冐
瘻,瘘
善,譱
錙,鍿
糴,籴
狸,貍
還,还
韵,韻
視,眎
剝,剥
肢,胑
邇,迩
黏,粘
三,弎
操,撡
綫,線
稱,穪
暎,映
劵,倦
財,戝
體,體
體,躰
體,軆
懼,愳
艫,舮
敦,㪟
辶,辶
皃,貌
皃,䫉
皃,㒵
釡,釜
糶,粜
簑,蓑
籐,籘
柁,舵
上,丄
下,丅
舖,鋪
菷,帚
膓,腸
鞍,鞌
粧,糚
京,亰
瓊,琼
村,邨
羇,覉
卻,却
襍,雑
襍,雜
從,从
竈,灶
竈,䆴
風,凬
風,凮
辺,邉
英,偀
梟,䲷
碍,礙
寳,宝
寳,寶
鼎,鼑
較,䡈
鼓,皷
鼓,鼔
丑,丒
盥,泴
驗,騐
鎌,鐮
写,冩
鵲,䧿
曳,曵
穹,宆
槨,椁
陽,阳
陽,阦
羈,覊
蓋,葢
蓋,盖
邉,辺
邉,邊
的,旳
学,斈
頽,頺
裴,裵
舗,鋪
肬,疣
迂,迃
贐,賮
剣,劔
剣,劒
剣,剱
剣,釼
剣,釰
覚,覐
笋,筍
脳,匘
造,艁
況,况
旃,旜
韻,韵
猊,貎
颯,䬃
絏,紲
癇,癎
閠,閏
跡,迹
夘,卯
関,闗
癈,㾱
舘,館
弃,棄
世,丗
世,卋
説,說
睹,覩
邊,邉
檗,檘
峯,峰
糺,糾
秋,龝
秋,穐
罌,甇
皈,帰
皈,歸
裹,褁
澣,浣
駻,馯
瑁,蝐
聟,婿
聟,壻
昶,㫤
瓔,珱
谿,渓
谿,溪
膚,肤
挙,舉
亰,京
梦,夢
曵,曳
寶,寳
粮,糧
鼠,鼡
妊,姙
嫺,嫻
靈,䨩
靈,霛
靈,㚑
靈,灵
塡,填
馘,聝
脾,腗
丘,㐀
丘,坵
嫻,嫺
懿,㦤
氷,冰
柏,栢
糾,糺
鬩,䦧
俊,儁
笑,㗛
鑪,鈩
峰,峯
響,响
盪,蕩
繼,㡭
濳,潜
濳,潛
惡,僫
皋,臯
雁,鳫
島,嶋
島,嶌
簔,蓑
傑,杰
銕,鉄
銕,鐵
銕,鐡
蓑,簑
蓑,簔
急,㤂
鐓,鐜
梨,梸
筱,篠
筱,筿
睿,叡
榛,樼
俎,爼
鎖,鎻
育,毓
鼡,鼠
夢,梦
竒,奇
愽,博
樸,檏
疂,畳
疂,疊
疂,疉
疂,叠
疂,曡
遡,溯
匝,迊
鬪,鬭
鬪,鬦
鬪,閗
体,躰
体,軆
總,緫
總,摠
總,揔
總,捴
釼,剣
釼,劍
釼,劔
釼,劒
釼,剱
釼,釰
蘯,蕩
艷,豓
艷,豔
囘,回
瑙,碯
幣,幤
檠,㯳
皎,賋
贓,賍
痞,脴
嶋,島
嶋,嶌
醯,䤈
謫,讁
