楼,旧字,樓
黄,旧字,黃
鉤,異体字,鈎
蔣,異体字,蒋
楽,旧字,樂
澄,異体字,澂
闘,旧字,鬪
闘,異体字,鬭
稟,異体字,禀
亜,旧字,亞
壻,異体字,聟
卮,異体字,巵
鰺,異体字,鯵
器,旧字,器
発,旧字,發
濤,異体字,涛
蠣,異体字,蛎
諡,異体字,謚
荘,旧字,莊
断,旧字,斷
呪,異体字,咒
齧,異体字,囓
辯,旧字,辨
様,旧字,樣
琢,旧字,琢
蟇,異体字,蟆
圧,旧字,壓
鉱,旧字,鑛
瀦,異体字,潴
尽,旧字,盡
韮,異体字,韭
即,旧字,卽
独,旧字,獨
曠,異体字,昿
狭,旧字,狹
熔,異体字,鎔
彎,異体字,弯
拿,異体字,拏
舎,旧字,舍
櫟,異体字,檪
懺,異体字,懴
祖,旧字,祖
戯,旧字,戲
侮,旧字,侮
槙,旧字,槇
翠,異体字,翆
畳,旧字,疊
歌,異体字,謌
頸,異体字,頚
抜,旧字,拔
渚,旧字,渚
従,旧字,從
却,異体字,卻
処,旧字,處
変,旧字,變
励,旧字,勵
嵯,異体字,嵳
峡,旧字,峽
瀬,旧字,瀨
軽,旧字,輕
杆,異体字,桿
権,旧字,權
熙,異体字,煕
熙,異体字,熈
祝,旧字,祝
択,旧字,擇
隷,旧字,隸
当,旧字,當
頻,旧字,頻
襌,異体字,褝
湾,旧字,灣
概,旧字,槪
廁,異体字,厠
万,旧字,萬
視,旧字,視
峨,異体字,峩
剝,異体字,剥
燻,異体字,熏
労,旧字,勞
偽,旧字,僞
巣,旧字,巢
蝨,異体字,虱
神,旧字,神
横,旧字,橫
簑,異体字,簔
僧,旧字,僧
僭,異体字,僣
慨,旧字,慨
缶,旧字,罐
缶,異体字,鑵
塚,旧字,塚
頼,旧字,賴
届,旧字,屆
襍,旧字,雜
台,旧字,臺
険,旧字,險
竈,異体字,竃
辺,旧字,邊
恵,旧字,惠
稲,旧字,稻
廃,旧字,廢
気,旧字,氣
澗,異体字,㵎
湿,旧字,濕
数,旧字,數
与,旧字,與
暑,旧字,暑
効,旧字,效
賓,旧字,賓
蔵,旧字,藏
臓,旧字,臟
歓,旧字,歡
写,旧字,寫
諫,異体字,諌
経,旧字,經
鬧,異体字,閙
弁,旧字,辨
弁,旧字,辯
蓋,異体字,葢
学,旧字,學
満,旧字,滿
廈,異体字,厦
舗,旧字,舖
謡,旧字,謠
剣,旧字,劍
覚,旧字,覺
脳,旧字,腦
剤,旧字,劑
滝,旧字,瀧
浄,旧字,淨
